file name is: ../input/img1.jpg
hash: 193d4d4a5c25180e shape: [[506, 435], [250, 419], [374, 199]]
hash: 22362b354a172b5c shape: [[506, 435], [250, 419], [374, 199]]
hash: d43ac2554accd5d5 shape: [[506, 435], [250, 419], [374, 199]]
hash: 2d2c2d2a1c4f190e shape: [[506, 435], [250, 419], [388, 189]]
hash: 3a376765bad75a55 shape: [[506, 435], [250, 419], [388, 189]]
hash: d462e2cd565c994f shape: [[506, 435], [250, 419], [388, 189]]
hash: 0e542a169d4d1905 shape: [[506, 435], [250, 419], [390, 217]]
hash: 6a37656552155a5d shape: [[506, 435], [250, 419], [390, 217]]
hash: d6ca40d5d3dac94d shape: [[506, 435], [250, 419], [390, 217]]
hash: 0c520c0e35af3415 shape: [[506, 435], [250, 419], [414, 215]]
hash: 336a579952155a6d shape: [[506, 435], [250, 419], [414, 215]]
hash: 55c8c2958bdaccda shape: [[506, 435], [250, 419], [414, 215]]
hash: 4a5554a25ca53115 shape: [[506, 435], [250, 419], [419, 247]]
hash: caab5d19b7cd9aed shape: [[506, 435], [250, 419], [419, 247]]
hash: d549592d0faa364b shape: [[506, 435], [250, 419], [419, 247]]
hash: 9a731a22aa345224 shape: [[506, 435], [250, 419], [438, 256]]
hash: ae435a51311d5b15 shape: [[506, 435], [250, 419], [438, 256]]
hash: a1c9b7146bc05736 shape: [[506, 435], [250, 419], [438, 256]]
hash: 8aab5c123a153306 shape: [[506, 435], [250, 419], [428, 267]]
hash: a2339db1aa95f31a shape: [[506, 435], [250, 419], [428, 267]]
hash: b5d985345b74121f shape: [[506, 435], [250, 419], [428, 267]]
hash: 9a2b2c52aa2c732d shape: [[506, 435], [250, 419], [438, 279]]
hash: 523bad35a89d73ba shape: [[506, 435], [250, 419], [438, 279]]
hash: a5dab5ac6fd8f233 shape: [[506, 435], [250, 419], [438, 279]]
hash: 75125e368e630a04 shape: [[506, 435], [250, 419], [396, 329]]
hash: 9c544acd4b76da5a shape: [[506, 435], [250, 419], [396, 329]]
hash: 52b5c4351a5cbc5f shape: [[506, 435], [250, 419], [396, 329]]
hash: 499ac5284e6b1404 shape: [[506, 435], [250, 419], [385, 343]]
hash: 1856424a9ad6e4a5 shape: [[506, 435], [250, 419], [385, 343]]
hash: 773644254f35a76f shape: [[506, 435], [250, 419], [385, 343]]
hash: 292a140b2d47152c shape: [[506, 435], [358, 407], [374, 199]]
hash: 0b3d7b79dad44a4a shape: [[506, 435], [358, 407], [374, 199]]
hash: bcda997223706a45 shape: [[506, 435], [358, 407], [374, 199]]
hash: 250a2b1b1f0f562d shape: [[506, 435], [358, 407], [388, 189]]
hash: 2b335d655a4c5b4b shape: [[506, 435], [358, 407], [388, 189]]
hash: d45859625368c2a3 shape: [[506, 435], [358, 407], [388, 189]]
